Player Name,Team,Position,ADP
Seiya Suzuki,Chicago Cubs,DH,83.67
Corey Seager,Texas Rangers,SS,83.0
Oneil Cruz,Pittsburgh Pirates,OF,94.5
Eugenio Suarez,Cincinnati Reds,3B,83.33
Alex Bregman,Chicago Cubs,3B,79.67
Christian Yelich,Milwaukee Brewers,DH,94.33
Nico Hoerner,Chicago Cubs,2B,84.5
Salvador Perez,Kansas City Royals,C,99.67
Jose Altuve,Houston Astros,2B,89.17
Will Smith,Los Angeles Dodgers,C,111.5
Michael Harris II,Atlanta Braves,OF,105.67
Jeremy Pena,Houston Astros,SS,111.83
Michael Busch,Chicago Cubs,1B,113.5
Drake Baldwin,Atlanta Braves,C,109.5
Agustin Ramirez,Miami Marlins,C,102.83
Kyle Stowers,Miami Marlins,OF,125.83
Willy Adames,San Francisco Giants,SS,110.5
Trevor Story,Boston Red Sox,SS,128.5
Brandon Nimmo,Texas Rangers,OF,123.67
Teoscar Hernandez,Los Angeles Dodgers,OF,115.33
Luke Keaschall,Minnesota Twins,2B,116.0
Luis Robert Jr.,New York Mets,OF,133.83
Jo Adell,Los Angeles Angels,OF,129.67
Yandy Diaz,Tampa Bay Rays,DH,128.17
Jakob Marsee,Miami Marlins,OF,134.33
Taylor Ward,Baltimore Orioles,OF,125.67
Ozzie Albies,Atlanta Braves,2B,122.0
Lawrence Butler,Athletics,OF,147.5
Andy Pages,Los Angeles Dodgers,OF,136.17
Matt Chapman,San Francisco Giants,3B,134.33
Yainer Diaz,Houston Astros,C,158.5
Noelvi Marte,Cincinnati Reds,3B,150.67
Ian Happ,Chicago Cubs,OF,140.33
Dansby Swanson,Chicago Cubs,SS,156.17
Steven Kwan,Cleveland Guardians,OF,136.17
Adley Rutschman,Baltimore Orioles,C,163.5
Brandon Lowe,Pittsburgh Pirates,2B,165.67
Ceddanne Rafaela,Boston Red Sox,OF,148.17
Jacob Wilson,Athletics,SS,160.0
Jackson Holliday,Baltimore Orioles,2B,184.17
Xavier Edwards,Miami Marlins,2B,170.0
Chandler Simpson,Tampa Bay Rays,OF,179.0
Mike Trout,Los Angeles Angels,DH,163.17
Alejandro Kirk,Toronto Blue Jays,C,184.33
Kazuma Okamoto,Toronto Blue Jays,1B,185.67
Christian Walker,Houston Astros,1B,182.5
Alec Burleson,St. Louis Cardinals,1B,171.5
Ivan Herrera,St. Louis Cardinals,DH,201.33
Colson Montgomery,Chicago White Sox,3B,190.67
Isaac Paredes,Houston Astros,3B,190.17
Bryan Reynolds,Pittsburgh Pirates,OF,174.5
Bryson Stott,Philadelphia Phillies,2B,194.17
Jordan Westburg,Baltimore Orioles,3B,206.83
Spencer Torkelson,Detroit Tigers,1B,172.0
Willson Contreras,Boston Red Sox,1B,173.5
Jonathan Aranda,Tampa Bay Rays,1B,197.17
Munetaka Murakami,Chicago White Sox,1B,179.17
Konnor Griffin,Pittsburgh Pirates,SS,188.83
Dylan Crews,Washington Nationals,OF,212.33
Marcus Semien,New York Mets,2B,187.83
Daulton Varsho,Toronto Blue Jays,OF,214.5
Jac Caglianone,Kansas City Royals,1B,212.17
Sal Stewart,Cincinnati Reds,1B,219.5
Addison Barger,Toronto Blue Jays,3B,195.5
Gleyber Torres,Detroit Tigers,2B,188.17
Sal Frelick,Milwaukee Brewers,OF,219.83
Jorge Polanco,New York Mets,DH,200.67
Jose Caballero,New York Yankees,OF,213.17
Royce Lewis,Minnesota Twins,3B,223.83
Brendan Donovan,Seattle Mariners,2B,218.5
Daylen Lile,Washington Nationals,OF,232.0
Gabriel Moreno,Arizona Diamondbacks,C,229.0
Brenton Doyle,Colorado Rockies,OF,203.17
Heliot Ramos,San Francisco Giants,OF,233.33
Matt McLain,Cincinnati Reds,2B,214.17
Kyle Teel,Chicago White Sox,C,233.33
Adolis Garcia,Philadelphia Phillies,OF,235.67
Max Muncy,Los Angeles Dodgers,3B,219.67
Wilyer Abreu,Boston Red Sox,OF,243.5
Ezequiel Tovar,Colorado Rockies,SS,238.17
Samuel Basallo,Baltimore Orioles,C,218.33
J.T. Realmuto,Philadelphia Phillies,C,224.83
Kerry Carpenter,Detroit Tigers,OF,242.17
JJ Wetherholt,St. Louis Cardinals,2B,223.33
Trent Grisham,New York Yankees,OF,243.17
Carter Jensen,Kansas City Royals,C,248.17
Giancarlo Stanton,New York Yankees,OF,230.67
Ramon Laureano,San Diego Padres,OF,255.5
Caleb Durbin,Boston Red Sox,3B,231.17
Luis Arraez,San Francisco Giants,1B,229.0
Austin Wells,New York Yankees,C,253.67
Carlos Correa,Houston Astros,3B,246.0
Alec Bohm,Philadelphia Phillies,3B,238.67
Kyle Manzardo,Cleveland Guardians,DH,261.33
Otto Lopez,Miami Marlins,SS,258.17
Francisco Alvarez,New York Mets,C,233.83
Jung Hoo Lee,San Francisco Giants,OF,270.17
Colton Cowser,Baltimore Orioles,OF,275.67
Xander Bogaerts,San Diego Padres,SS,263.67
Logan O'Hoppe,Los Angeles Angels,C,265.67
Dillon Dingler,Detroit Tigers,C,272.67
Kevin McGonigle,Detroit Tigers,SS,269.83
Ernie Clement,Toronto Blue Jays,3B,247.33
Jake Burger,Texas Rangers,1B,281.5
Luis Garcia,Washington Nationals,2B,259.67
Mark Vientos,New York Mets,3B,291.0
Colt Keith,Detroit Tigers,DH,279.33
Ryan O'Hearn,Pittsburgh Pirates,1B,264.0
Spencer Steer,Cincinnati Reds,1B,266.83
TJ Friedl,Cincinnati Reds,OF,263.17
Ryan Jeffers,Minnesota Twins,C,284.5
Tyler Stephenson,Cincinnati Reds,C,296.0
Justin Crawford,Philadelphia Phillies,OF,288.5
Mickey Moniak,Colorado Rockies,OF,281.2
Jasson Dominguez,New York Yankees,OF,292.0
Andrew Vaughn,Milwaukee Brewers,1B,293.17
Chase DeLauter,Cleveland Guardians,OF,301.5
Marcell Ozuna,Pittsburgh Pirates,DH,274.5
Evan Carter,Texas Rangers,OF,287.0
Masyn Winn,St. Louis Cardinals,SS,284.67
Miguel Vargas,Chicago White Sox,3B,280.5
Willi Castro,Colorado Rockies,SS,303.33
Jordan Beck,Colorado Rockies,OF,246.25
Zach McKinstry,Detroit Tigers,3B,299.8
Matt Shaw,Chicago Cubs,3B,320.5
Victor Scott,St. Louis Cardinals,OF,311.5
Marcelo Mayer,Boston Red Sox,2B,323.5
Jonathan India,Kansas City Royals,2B,306.0
Nick Castellanos,San Diego Padres,OF,320.17
Nolan Schanuel,Los Angeles Angels,1B,315.5
Tommy Edman,Los Angeles Dodgers,2B,307.6
Carson Kelly,Chicago Cubs,C,312.8
Brett Baty,New York Mets,3B,299.83
J.P. Crawford,Seattle Mariners,SS,316.0
Brooks Lee,Minnesota Twins,SS,316.6
Lenyn Sosa,Chicago White Sox,2B,271.75
Josh Smith,Texas Rangers,SS,333.17
Josh Jung,Texas Rangers,3B,324.4
Bryce Eldridge,San Francisco Giants,1B,343.5
Carson Benge,New York Mets,OF,324.8
Josh Lowe,Los Angeles Angels,OF,286.5
Nolan Arenado,Arizona Diamondbacks,3B,309.17
Jake Cronenworth,San Diego Padres,2B,343.17
Jordan Lawlar,Arizona Diamondbacks,3B,332.8
Cedric Mullins II,Tampa Bay Rays,OF,335.0
Ryan McMahon,New York Yankees,3B,336.0
Andres Gimenez,Toronto Blue Jays,2B,314.17
Dylan Beavers,Baltimore Orioles,OF,299.5
Matt Wallner,Minnesota Twins,OF,305.0
Jeff McNeil,Athletics,2B,328.33
Javier Baez,Detroit Tigers,SS,345.8
Harrison Bader,San Francisco Giants,OF,345.8
Anthony Volpe,New York Yankees,SS,330.33
Anthony Santander,Toronto Blue Jays,OF,319.75
Paul Goldschmidt,New York Yankees,1B,461.0
Carlos Narvaez,Boston Red Sox,C,339.0
Cam Smith,Houston Astros,OF,346.5
Owen Caissie,Miami Marlins,OF,354.75
Dominic Canzone,Seattle Mariners,OF,354.75
Moises Ballesteros,Chicago Cubs,C,356.0
Brandon Marsh,Philadelphia Phillies,OF,361.0
Tyler O'Neill,Baltimore Orioles,OF,362.5
Austin Hays,Chicago White Sox,OF,367.75
Jordan Walker,St. Louis Cardinals,OF,370.5
Bo Naylor,Cleveland Guardians,C,373.75
Edgar Quero,Chicago White Sox,C,376.0
Lars Nootbaar,St. Louis Cardinals,OF,376.25
Gavin Sheets,San Diego Padres,OF,379.75
Andrew Benintendi,Chicago White Sox,OF,384.75
Jesus Sanchez,Toronto Blue Jays,OF,352.67
Luisangel Acuna,Chicago White Sox,2B,392.25
Jake Mangum,Pittsburgh Pirates,OF,359.67
Isaac Collins,Kansas City Royals,OF,360.0
Spencer Horwitz,Pittsburgh Pirates,1B,364.33
Hyeseong Kim,Los Angeles Dodgers,2B,478.5
Josh Bell,Minnesota Twins,DH,368.0
Nolan Gorman,St. Louis Cardinals,2B,370.33
Mike Yastrzemski,Atlanta Braves,OF,372.67
Connor Norby,Miami Marlins,3B,373.67
Coby Mayo,Baltimore Orioles,1B,406.0
Triston Casas,Boston Red Sox,1B,379.67
Spencer Jones,New York Yankees,OF,554.75
Ha-Seong Kim,Atlanta Braves,SS,386.67
Victor Robles,Seattle Mariners,OF,387.0
Kody Clemens,Minnesota Twins,1B,399.0
Patrick Bailey,San Francisco Giants,C,400.33
Chase Meidroth,Chicago White Sox,SS,351.0
Trevor Larnach,Minnesota Twins,DH,365.5
Colt Emerson,Seattle Mariners,SS,414.0
Walker Jenkins,Minnesota Twins,OF,586.33
Jorge Soler,Los Angeles Angels,OF,381.0
Jared Triolo,Pittsburgh Pirates,SS,422.33
Denzel Clarke,Athletics,OF,443.0
Javier Sanoja,Miami Marlins,2B,719.0
Jake Meyers,Houston Astros,OF,427.33
Lane Thomas,Kansas City Royals,OF,429.67
Parker Meadows,Detroit Tigers,OF,396.0
Freddy Fermin,San Diego Padres,C,431.33
Brady House,Washington Nationals,3B,578.67
Jake McCarthy,Colorado Rockies,OF,435.67
Nasim Nunez,Washington Nationals,2B,436.0
Mauricio Dubon,Atlanta Braves,2B,549.5
Sean Murphy,Atlanta Braves,C,410.5
Joey Ortiz,Milwaukee Brewers,SS,412.5
Travis Bazzana,Cleveland Guardians,2B,586.67
Kristian Campbell,Boston Red Sox,2B,416.5
Enrique Hernandez,Los Angeles Dodgers,2B,670.5
Harry Ford,Washington Nationals,C,417.0
Miguel Rojas,Los Angeles Dodgers,SS,800.0
Luis Rengifo,Milwaukee Brewers,3B,420.5
Jorge Mateo,Atlanta Braves,SS,634.0
Miguel Amaya,Chicago Cubs,C,447.67
Christian Moore,Los Angeles Angels,2B,421.5
Max Muncy,Athletics,3B,685.5
Brooks Baldwin,Chicago White Sox,2B,647.0
Keibert Ruiz,Washington Nationals,C,428.5
Victor Caratini,Minnesota Twins,C,430.5
Wenceel Perez,Detroit Tigers,OF,430.5
Ke'Bryan Hayes,Cincinnati Reds,3B,613.0
Pedro Pages,St. Louis Cardinals,C,728.5
Justyn-Henry Malloy,Tampa Bay Rays,OF,563.5
Ryan Waldschmidt,Arizona Diamondbacks,OF,655.5
Miguel Andujar,San Diego Padres,3B,601.0
Zach Cole,Houston Astros,OF,700.0
Jonny DeLuca,Tampa Bay Rays,OF,759.5
Davis Schneider,Toronto Blue Jays,2B,792.0
Wade Meckler,Los Angeles Angels,OF,525.5
Dalton Rushing,Los Angeles Dodgers,C,464.33
Carlos Santana,Arizona Diamondbacks,1B,718.5
Aidan Miller,Philadelphia Phillies,SS,446.0
Lourdes Gurriel Jr.,Arizona Diamondbacks,OF,590.67
Alek Thomas,Arizona Diamondbacks,OF,793.5
Tyler Fitzgerald,San Francisco Giants,SS,683.5
George Valera,Cleveland Guardians,OF,816.0
Carson Williams,Tampa Bay Rays,SS,449.5
Paul DeJong,New York Yankees,2B,586.0
Liam Hicks,Miami Marlins,C,717.0
Jesus Rodriguez,San Francisco Giants,C,724.5
LaMonte Wade Jr.,Chicago White Sox,1B,583.5
Rhys Hoskins,Cleveland Guardians,1B,654.5
Masataka Yoshida,Boston Red Sox,OF,784.5
Rob Refsnyder,Seattle Mariners,OF,731.0
Wander Franco,Tampa Bay Rays,SS,485.0
Endy Rodriguez,Pittsburgh Pirates,C,704.5
Jesus Made,Milwaukee Brewers,2B,739.5
Andrew McCutchen,Texas Rangers,DH,638.5
Romy Gonzalez,Boston Red Sox,1B,458.5
Max Clark,Detroit Tigers,OF,804.5
Daniel Susac,San Francisco Giants,C,706.0
Oswaldo Cabrera,New York Yankees,3B,566.0
Danny Jansen,Texas Rangers,C,463.5
Will Benson,Cincinnati Reds,OF,820.0
Dylan Moore,Free Agent,SS,788.0
Gavin Lux,Tampa Bay Rays,DH,737.5
Connor Wong,Boston Red Sox,C,851.5
Daniel Schneemann,Cleveland Guardians,2B,836.5
Edmundo Sosa,Philadelphia Phillies,2B,849.5
Jonah Heim,Atlanta Braves,C,794.0
Sung-Mun Song,San Diego Padres,2B,745.0
Jeremiah Jackson,Baltimore Orioles,3B,836.0
Richie Palacios,Tampa Bay Rays,2B,775.5
MJ Melendez,New York Mets,OF,660.5
Zack Gelof,Athletics,2B,792.5
Cole Young,Seattle Mariners,2B,686.67
Nick Sogard,Boston Red Sox,1B,578.0
Cooper Ingle,Cleveland Guardians,C,802.5
Abraham Toro,Kansas City Royals,1B,522.5
Leo De Vries,Athletics,SS,783.0
Nathan Lukes,Toronto Blue Jays,OF,808.0
Jose Siri,Los Angeles Angels,OF,625.5
Max Schuemann,New York Yankees,SS,670.0
Ezequiel Duran,Texas Rangers,SS,813.5
Jhonkensy Noel,Baltimore Orioles,1B,622.0
Johan Rojas,Philadelphia Phillies,OF,602.0
Nolan Jones,Cleveland Guardians,OF,824.0
Christopher Morel,Miami Marlins,2B,822.0
Tyler Heineman,Toronto Blue Jays,C,711.0
Luis Torrens,New York Mets,C,847.0
Nathaniel Lowe,Cincinnati Reds,1B,799.0
Kris Bryant,Colorado Rockies,DH,521.0
Orlando Arcia,Minnesota Twins,SS,681.0
Nelson Rada,Los Angeles Angels,OF,837.0
Isiah Kiner-Falefa,Boston Red Sox,2B,868.5
Eli White,Atlanta Braves,OF,702.0
Ramon Urias,St. Louis Cardinals,2B,811.5
Jerar Encarnacion,San Francisco Giants,OF,793.5
Kyle Isbel,Kansas City Royals,OF,810.5
Matt Vierling,Detroit Tigers,OF,836.5
Joey Bart,Pittsburgh Pirates,C,727.5
Alfredo Duno,Cincinnati Reds,C,559.0
Garrett Mitchell,Milwaukee Brewers,OF,758.0
Hunter Feduccia,Tampa Bay Rays,C,708.5
